"dv","iv","present.group","present.ind"
"V5","V5lag",68,0
"V3","V3lag",67,0
"V4","V4lag",65,0
"V6","V6lag",65,0
"V2","V2lag",0,47
"V1","V1lag",0,46
"V1","V6lag",0,7
"V6","V4",0,4
"V1","V4",0,3
"V1","V6",0,3
"V2","V6lag",0,3
"V2","V3",0,2
"V2","V3lag",0,2
"V2","V4",0,2
"V2","V6",0,2
"V5","V6",0,2
"V1","V3",0,1
"V1","V3lag",0,1
"V1","V4lag",0,1
"V1","V5",0,1
"V1","V5lag",0,1
"V2","V5",0,1
"V2","V5lag",0,1
"V3","V4",0,1
"V3","V6",0,1
"V3","V6lag",0,1
"V4","V6",0,1
"V5","V4lag",0,1
"V5","V6lag",0,1
"V6","V4lag",0,1
"V6","V5",0,1
